               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11896,            0.048558,            0.042238,           0.0010184,            0.093348,          0.00060359,          0.00013247,             0.11155,            0.031452,            0.040169,              0.0937,              0.0007,              0.0007
                   1,             0.10359,            0.055561,            0.033722,           0.0038477,             0.29845,            0.009346,           0.0022012,            0.090441,            0.035389,            0.027882,            0.086497,            0.001497,            0.001497
                   2,            0.085076,            0.058898,            0.025333,             0.71068,             0.06099,            0.033894,           0.0084568,            0.078467,            0.037399,            0.021861,            0.079291,           0.0022909,           0.0022909
                   3,            0.074784,            0.052719,            0.021057,             0.75152,            0.098565,            0.061616,            0.013551,            0.076161,            0.044464,            0.022623,            0.072082,           0.0030816,           0.0030816
                   4,             0.07031,            0.047646,            0.021065,             0.78479,             0.14614,             0.11976,            0.045292,            0.072377,            0.036465,            0.021075,            0.064869,           0.0038691,           0.0038691
                   5,            0.067047,             0.04346,            0.020707,              0.7882,             0.18901,             0.14132,            0.061212,              0.0665,            0.028469,            0.020178,            0.057653,           0.0046535,           0.0046535
                   6,            0.066763,            0.041008,            0.018939,             0.80799,              0.1721,             0.15745,            0.069619,            0.068738,            0.024044,            0.019741,            0.050435,           0.0054347,           0.0054347
                   7,            0.064772,            0.040241,            0.019975,             0.79348,             0.18297,             0.15105,            0.061585,            0.067224,            0.022284,            0.019173,            0.043213,           0.0062127,           0.0062127
                   8,            0.065075,            0.036144,            0.019567,             0.80418,              0.1721,             0.14499,            0.045886,            0.068127,            0.021084,            0.018702,            0.035988,           0.0069875,           0.0069875
                   9,            0.061487,            0.035855,            0.018085,             0.82674,             0.20229,             0.19118,            0.067125,            0.063603,            0.022635,             0.01832,            0.028759,           0.0077592,           0.0077592
